                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 1.1553,                0.59925,                 1.0695,                0.95952,                0.92352,                0.95713,                 0.6975,                 1.0316,                0.55348,                 1.0312,               0.000515,               0.000515,               0.000515
                     48,                 1.0936,                0.59556,                 1.0356,                0.96001,                0.90568,                0.94607,                0.68899,                 1.0217,                0.57065,                 1.0284,               0.000482,               0.000482,               0.000482
                     49,                 1.1195,                0.59352,                 1.0516,                0.96458,                0.89796,                0.93629,                0.68136,                 1.0112,                0.54688,                 1.0243,               0.000449,               0.000449,               0.000449
                     50,                 1.0808,                0.58058,                 1.0566,                0.96602,                0.91434,                0.94743,                0.69211,                 1.0017,                0.55543,                 1.0239,               0.000416,               0.000416,               0.000416
                     51,                 1.0515,                0.52036,                 1.0465,                0.93015,                0.74954,                 0.7858,                0.57491,                 1.1118,                0.76632,                 1.0895,               0.000383,               0.000383,               0.000383
                     52,                 1.0216,                0.50885,                 1.0422,                 0.9387,                0.78598,                0.81555,                0.59649,                 1.0408,                0.71954,                  1.051,                0.00035,                0.00035,                0.00035
                     53,                0.99853,                0.48463,                 1.0255,                0.93318,                0.78593,                0.80039,                0.59004,                 1.0254,                0.80153,                 1.0503,               0.000317,               0.000317,               0.000317
                     54,                0.98219,                 0.4798,                 1.0257,                0.46801,                0.75201,                0.41116,                0.30366,                 0.9823,                 2.2134,                 1.0267,               0.000284,               0.000284,               0.000284
                     55,                0.97714,                0.48352,                 1.0197,                0.03536,                0.76438,                0.03142,                0.02345,                 1.0092,                  105.7,                 1.0517,               0.000251,               0.000251,               0.000251
                     56,                0.96546,                0.47139,                 1.0081,                0.12082,                0.77118,                0.10633,                 0.0781,                0.98628,                 24.707,                 1.0327,               0.000218,               0.000218,               0.000218
                     57,                0.94565,                0.47186,                 1.0045,                0.96166,                0.82189,                0.86864,                 0.6568,                0.98263,                0.66812,                 1.0225,               0.000185,               0.000185,               0.000185
                     58,                0.94023,                0.45304,                0.99666,                0.65065,                0.82929,                 0.5974,                  0.444,                0.94576,                 2.1025,                 1.0069,               0.000152,               0.000152,               0.000152
                     59,                0.93643,                 0.4643,                0.99809,                0.29393,                0.74246,                0.24852,                0.18519,                0.97715,                 5.9821,                  1.034,               0.000119,               0.000119,               0.000119
                     60,                0.92309,                0.44495,                0.99162,                 0.3872,                0.81076,                0.35187,                0.26364,                0.92058,                  3.634,                 0.9943,                8.6e-05,                8.6e-05,                8.6e-05
